"zona","barrio","condcasa","acons","aremo","aventa","precio"
"RL","CollgCr",5,2004,2004,2008,185900
"RL","NridgHt",5,2008,2008,2009,451950
"RL","Mitchel",8,1982,2003,2008,138000
"RM","CollgCr",5,2003,2003,2009,140000
"RL","CollgCr",6,1975,1975,2008,110000
"RL","StoneBr",5,2005,2006,2006,319000
"RM","OldTown",7,1910,1993,2006,114504
"RL","Blmngtn",5,2006,2007,2007,194201
"RL","Crawfor",6,1977,1977,2006,217500
"RM","Blueste",6,1980,1980,2008,151000
"RL","NridgHt",5,2005,2005,2006,275000
"RM","IDOTRR",6,1937,1950,2007,141000
"RL","SawyerW",5,1992,1992,2006,220000
"FV","Somerst",5,2004,2005,2010,151000
"RL","CollgCr",5,2002,2002,2008,221000
"RL","NAmes",6,1965,1990,2009,205000
"RL","CollgCr",5,1996,1996,2009,152000
"RL","Edwards",8,1948,2002,2006,225000
"RL","Crawfor",6,1934,1998,2007,359100
"RL","Sawyer",5,1961,1961,2007,118500
"RL","CollgCr",5,2000,2000,2009,313000
"RL","NWAmes",6,1978,1978,2007,148000
"RL","CollgCr",5,2001,2001,2009,261500
"RL","Mitchel",5,2007,2007,2007,147000
"RM","MeadowV",6,1972,1972,2010,75500
"RL","NAmes",7,1963,1963,2010,137500
"RL","Gilbert",5,2002,2003,2006,183200
"RL","NAmes",6,1954,1954,2008,105500
"RL","NridgHt",5,2007,2007,2007,314813
"RL","Timber",5,2003,2003,2008,305000
"RL","Edwards",3,1914,1950,2008,67000
"RL","NWAmes",7,1974,1997,2008,240000
"RL","Sawyer",6,1977,1977,2009,135000
"FV","Somerst",5,2000,2000,2007,168500
"RL","NWAmes",5,1972,1972,2006,165150
"RL","NAmes",6,1962,1962,2010,160000
"RL","NAmes",5,1960,1978,2007,139900
"RL","NAmes",6,1955,1972,2010,153000
"RL","NAmes",5,1969,1969,2007,135000
"RL","NAmes",5,1964,1964,2008,168500
"RM","OldTown",6,1880,1991,2006,124000
"RL","NridgHt",5,2006,2006,2007,209500
"RL","NWAmes",5,1977,1977,2009,82500
"RL","NAmes",7,1954,2005,2007,139400
"RL","OldTown",5,1980,1980,2010,144000
"RH","SWISU",7,1914,1995,2007,200000
"RM","BrkSide",3,1936,1950,2009,60000
"RM","OldTown",4,1954,1954,2009,93000
"RL","Edwards",7,1910,1950,2008,85000
"RL","Blmngtn",5,2006,2006,2006,264561
"RL","NridgHt",5,2003,2004,2008,274000
"FV","Somerst",5,2001,2001,2007,226000
"RL","NAmes",7,1972,1995,2009,345000
"RL","NWAmes",5,1969,1969,2007,152000
"FV","Somerst",5,2009,2009,2009,370878
"RL","NAmes",5,1971,1971,2007,143250
"RL","NAmes",5,1950,1950,2008,98300
"RL","Edwards",5,1953,1953,2008,155000
"RL","NAmes",5,1966,1966,2010,155000
"RM","MeadowV",6,1970,1970,2007,84500
"FV","Somerst",6,2007,2007,2008,205950
"RL","Edwards",5,1940,1950,2009,108000
"RL","CollgCr",5,1996,1996,2009,191000
"RM","IDOTRR",7,1906,1995,2008,135000
"RL","NoRidge",6,1995,1995,2008,350000
"RM","BrDale",5,1971,1971,2010,88000
"RL","NAmes",7,1959,2006,2008,145500
"RL","Crawfor",6,1931,2000,2008,149000
"RL","NAmes",5,1948,1950,2010,97500
"RL","Edwards",7,1964,1999,2009,167000
"RL","NWAmes",7,1976,1976,2007,197900
"RL","NoRidge",7,1994,2005,2009,402000
"RL","NAmes",3,1968,1968,2009,110000
"RL","Edwards",5,1972,1972,2008,137500
"RL","Somerst",5,2005,2006,2006,423000
"RL","Gilbert",5,2000,2000,2006,230500
"RL","NAmes",5,1965,1979,2007,129000
"RL","SawyerW",5,1994,1998,2008,193500
"RL","Sawyer",6,1956,1987,2006,168000
"RL","Crawfor",5,1922,1950,2006,137500
"RL","CollgCr",5,2005,2005,2009,173500
"RH","Edwards",6,1925,1950,2009,103600
"RL","Veenker",6,1977,1977,2006,165000
"RL","Crawfor",7,1957,2004,2007,257500
"RL","NAmes",6,1965,1965,2008,140000
"RL","NPkVill",6,1978,1978,2009,148500
"RM","OldTown",2,1900,1950,2006,87000
"RL","OldTown",8,1924,2006,2009,109500
"RL","StoneBr",5,2008,2008,2009,372500
"RL","Sawyer",5,1961,1961,2007,128500
"RL","SawyerW",5,1980,1980,2010,143000
"RH","SWISU",5,1932,2000,2009,159434
"RL","ClearCr",5,1996,1997,2008,173000
"RL","CollgCr",5,2002,2002,2007,285000
"RL","NoRidge",5,1998,1998,2010,221000
"RL","StoneBr",5,1984,1984,2007,207500
"FV","Somerst",6,2007,2007,2007,227875
"FV","Somerst",5,2004,2004,2007,148800
"RL","StoneBr",6,2007,2007,2007,392000
"RL","NridgHt",5,2005,2006,2007,194700
"RM","CollgCr",5,2004,2004,2008,141000
"RL","NoRidge",6,1994,1995,2007,755000
"RL","Timber",5,1989,1990,2006,335000
"RL","OldTown",6,1921,1968,2006,108480
"RM","BrkSide",6,1936,1950,2009,141500
"RL","Timber",6,1987,1987,2006,176000
"RM","BrkSide",7,1921,1950,2006,89000
"RL","Edwards",7,1952,1952,2006,123500
"RL","Sawyer",8,1965,2009,2010,138500
"FV","Somerst",5,2004,2004,2008,196000
"RL","Timber",5,2002,2002,2006,312500
"RL","NWAmes",5,1969,1969,2006,140000
"RL","StoneBr",5,2006,2006,2006,361919
"RM","OldTown",9,1900,1996,2010,140000
"RL","CollgCr",5,2004,2005,2010,213000
"RM","IDOTRR",5,1930,1950,2010,55000
"RL","ClearCr",5,1971,2002,2007,302000
"RL","NridgHt",5,2006,2006,2009,254000
"RL","Gilbert",5,2007,2007,2007,179540
"RL","Sawyer",7,1966,1966,2008,109900
"RL","BrkSide",6,1935,2003,2008,52000
"C (all)","IDOTRR",7,1900,1950,2010,102776
"RL","StoneBr",5,1988,1989,2008,189000
"RL","BrkSide",5,1970,1970,2006,129000
"RL","Sawyer",8,1976,2005,2010,130500
"RL","NWAmes",5,1974,1974,2009,165000
"RM","OldTown",8,1890,1998,2007,159500
"RL","NWAmes",6,1973,2000,2008,157000
"RL","NoRidge",5,1993,1994,2008,341000
"RL","CollgCr",6,1969,1969,2006,128500
"RL","StoneBr",5,1985,1985,2006,275000
"RM","CollgCr",5,2004,2004,2010,143000
"RL","NAmes",7,1970,1970,2009,124500
"RL","Edwards",6,1954,1972,2008,135000
"RL","Edwards",5,2007,2008,2009,320000
"RL","NAmes",6,1970,1970,2009,120500
"RL","Crawfor",9,1988,2007,2009,222000
"RL","CollgCr",5,2007,2007,2009,194500
"RL","NAmes",5,1958,1958,2009,110000
"RM","IDOTRR",5,1925,1950,2009,103000
"RL","StoneBr",5,1995,1996,2010,236500
"RL","Timber",5,2003,2003,2007,187500
"RL","CollgCr",5,1998,1999,2008,222500
"RL","Sawyer",6,1961,1983,2009,131400
"RL","Sawyer",5,1968,1968,2007,108000
"RM","OldTown",7,1914,1970,2006,163000
"RL","NAmes",4,1950,1950,2006,93500
"RL","Gilbert",5,2005,2005,2006,239900
"RL","Edwards",5,1987,1988,2009,179000
"RL","CollgCr",5,2004,2004,2009,190000
"RM","OldTown",7,1910,2002,2007,132000
"RL","Sawyer",8,1961,1996,2008,142000
"RL","SawyerW",5,2000,2001,2007,179000
"RL","Sawyer",6,1963,1999,2009,175000
"RL","StoneBr",5,1993,1993,2008,180000
"RL","NWAmes",9,1976,1996,2008,299800
"RL","Gilbert",5,2000,2000,2009,236000
"RM","OldTown",7,1880,2003,2009,265979
"RL","NoRidge",5,1996,1996,2010,260400
"RL","Edwards",3,1945,1950,2009,98000
"RM","OldTown",7,1910,2004,2010,96500
"RL","Gilbert",5,2003,2003,2007,162000
"RL","CollgCr",5,1997,1997,2006,217000
"RL","NridgHt",5,2005,2005,2006,275500
"RL","NAmes",8,1969,2005,2009,156000
"FV","Somerst",5,1999,1999,2009,172500
"RL","CollgCr",5,2007,2007,2009,212000
"RL","Sawyer",5,1978,1978,2010,158900
"FV","Somerst",5,1999,1999,2008,179400
"RL","NoRidge",5,1995,1995,2007,290000
"RL","NAmes",6,1959,1959,2009,127500
"RM","BrkSide",5,1924,1950,2009,100000
"FV","Somerst",5,2009,2009,2010,215200
"RL","NoRidge",5,1999,1999,2009,337000
"RL","Veenker",5,1995,1996,2006,270000
"RL","Somerst",5,2008,2008,2008,264132
"RL","NWAmes",5,1988,1988,2010,196500
"RL","Mitchel",7,1940,1985,2008,160000
"RL","CollgCr",5,2004,2005,2006,216837
"RL","StoneBr",5,2003,2003,2010,538000
"RL","Sawyer",5,1982,1982,2009,134900
"RL","Edwards",5,1951,1951,2006,102000
"RL","Edwards",5,1976,1976,2010,107000
"RL","NAmes",5,1958,1958,2007,114500
"RL","NridgHt",5,2006,2006,2007,395000
"RM","Mitchel",5,1998,1998,2009,162000
"RL","CollgCr",5,2005,2006,2006,221500
"RL","Sawyer",5,1974,1974,2006,142500
"RH","SawyerW",5,1977,1977,2007,144000
"RL","Mitchel",5,1977,1977,2006,135000
"RL","Gilbert",5,1995,1996,2007,176000
"RL","SawyerW",5,1992,1992,2006,175900
"RL","CollgCr",5,2001,2002,2009,187100
"RL","Mitchel",6,1978,1978,2009,165500
"RM","OldTown",6,1914,2001,2008,128000
"RL","NWAmes",5,1967,1967,2009,161500
"RM","OldTown",6,1915,1950,2010,139000
"RL","SawyerW",5,2004,2004,2010,233000
"RM","OldTown",7,1954,2000,2008,107900
"RL","ClearCr",8,1966,2007,2007,187500
"RL","Blmngtn",5,2005,2006,2009,160200
"RL","Mitchel",5,1976,1976,2007,146800
"RL","NoRidge",5,1996,1997,2007,269790
"RL","Somerst",5,2007,2007,2007,225000
"RL","Gilbert",5,1994,1996,2008,194500
"RL","SawyerW",6,1980,1981,2010,171000
"RL","Sawyer",5,1977,1977,2007,143500
"RL","NAmes",5,1953,1953,2008,110000
"RL","NridgHt",5,2008,2009,2009,485000
"RL","SWISU",7,1937,1950,2007,175000
"RL","ClearCr",5,1997,1997,2008,200000
"RM","IDOTRR",7,1916,1990,2007,109900
"RL","CollgCr",5,2005,2005,2008,189000
"RL","NridgHt",5,2008,2009,2009,582933
"RL","NAmes",5,1954,1954,2006,118000
"RL","Somerst",5,2008,2008,2008,227680
"RL","NAmes",5,1967,1967,2006,135500
"RL","BrkSide",6,1923,2004,2009,223500
"RL","NAmes",5,1966,1966,2006,159950
"RM","OldTown",5,1898,1965,2009,106000
"RL","NWAmes",6,1974,1999,2006,181000
"RM","CollgCr",5,2004,2004,2008,144500
"C (all)","IDOTRR",5,1952,1952,2010,55993
"RL","NAmes",6,1958,1958,2007,157900
"RL","Edwards",7,1918,1950,2006,116000
"RL","CollgCr",5,1998,1998,2010,224900
"RL","NAmes",6,1954,1954,2006,137000
"RL","Mitchel",5,2002,2002,2008,271000
"RL","ClearCr",7,1971,1971,2010,155000
"RL","NridgHt",5,2009,2010,2010,224000
"RL","CollgCr",5,2003,2003,2008,183000
"RM","OldTown",4,1953,1953,2009,93000
"RL","Gilbert",5,2003,2003,2007,225000
"RL","SWISU",7,1940,1950,2009,139500
"FV","Somerst",5,2006,2006,2006,232600
"RL","NridgHt",5,2007,2008,2008,385000
"RM","BrkSide",6,1924,1950,2008,109500
"RL","SawyerW",5,2001,2001,2009,189000
"RL","ClearCr",5,1967,1967,2009,185000
"FV","Somerst",5,2005,2005,2006,147400
"RL","NAmes",5,1957,1957,2008,166000
"FV","Somerst",5,2005,2005,2006,151000
"RL","CollgCr",6,2003,2003,2010,237000
"RL","NAmes",6,1964,1964,2009,167000
"RL","NAmes",6,1961,1961,2008,139950
"RL","Sawyer",7,1950,1995,2010,128000
"RM","OldTown",6,1948,1973,2007,153500
"RM","BrDale",5,1973,1973,2008,100000
"RL","CollgCr",6,1995,2006,2008,144000
"RL","Edwards",6,1946,1995,2008,130500
"RH","SWISU",8,1925,1950,2008,140000
"RM","OldTown",8,1904,2002,2008,157500
"RL","NAmes",7,1966,1966,2008,174900
"RL","NAmes",4,1961,1961,2007,141000
"RM","OldTown",8,1915,1950,2008,153900
"RL","Sawyer",5,1975,1981,2007,171000
"RL","SawyerW",5,1993,1993,2009,213000
"RL","CollgCr",6,1972,1972,2009,133500
"RL","ClearCr",8,1908,1997,2008,240000
"RL","Veenker",7,1976,1994,2007,187000
"RM","CollgCr",5,2003,2003,2007,131500
"RL","Blmngtn",5,2003,2003,2006,215000
"RL","Crawfor",5,1941,1950,2007,164000
"RL","NAmes",6,1964,1964,2009,158000
"RL","Sawyer",4,1955,1974,2006,170000
"RL","Sawyer",8,1962,2010,2010,127000
"RL","CollgCr",6,1978,1978,2008,147000
"RL","Gilbert",5,1994,1995,2009,174000
"RL","NWAmes",5,1976,1976,2009,152000
"RL","NWAmes",7,1968,1984,2006,250000
"RL","Crawfor",8,1918,1998,2007,189950
"RL","Sawyer",4,1965,1965,2010,131500
"RL","SawyerW",5,1984,1985,2010,152000
"RL","NAmes",5,1959,1959,2009,132500
"FV","Somerst",5,2007,2008,2008,250580
"RL","NAmes",6,1970,1970,2009,148500
"RL","Timber",5,2006,2007,2007,248900
"RL","Sawyer",5,1961,1961,2007,129000
"RL","Gilbert",6,1948,1950,2006,169000
"RL","SawyerW",5,1993,1994,2010,236000
"RL","NAmes",5,1962,1962,2009,109500
"RL","CollgCr",5,1998,1998,2010,200500
"RL","NAmes",7,1953,1996,2008,116000
"RL","NAmes",7,1949,1950,2009,133000
"RM","OldTown",6,1941,1950,2009,66500
"FV","Somerst",5,2007,2007,2007,303477
"RL","Mitchel",5,1963,1963,2007,132250
"RL","NridgHt",5,2004,2005,2009,350000
"RL","Sawyer",7,1961,1995,2010,148000
"RL","CollgCr",8,1978,2005,2009,136500
"RL","Edwards",5,2005,2006,2007,157000
"RL","Timber",5,1990,1991,2007,187500
"RL","Gilbert",5,1992,1993,2009,178000
"RL","SWISU",5,1912,1950,2006,118500
"RL","NAmes",5,1967,1967,2009,100000
"FV","Somerst",5,1999,2000,2008,328900
"RL","NAmes",5,1959,2005,2006,145000
"RL","Edwards",7,1955,1955,2008,135500
"RL","NAmes",6,1970,1970,2007,268000
"RL","NAmes",4,1953,1953,2009,149500
"RL","NAmes",7,1949,2006,2007,122900
"RL","Sawyer",5,1978,1978,2009,172500
"RL","Sawyer",8,1963,2003,2006,154500
"RL","Sawyer",5,1954,1954,2008,165000
"RL","SawyerW",5,1979,1979,2009,118858
"RL","NAmes",5,1963,1963,2008,140000
"RM","IDOTRR",6,1936,1950,2006,106500
"RL","SawyerW",5,1979,1979,2009,142953
"RL","NridgHt",5,2009,2010,2010,611657
"RL","Sawyer",7,1961,1994,2006,135000
"RL","NAmes",6,1971,1971,2007,110000
"RL","NAmes",7,1957,2000,2009,153000
"RL","Gilbert",5,2003,2003,2006,180000
"RL","Gilbert",5,2006,2006,2006,240000
"RL","Sawyer",6,1967,1967,2007,125500
"RL","NAmes",5,1954,1954,2010,128000
"RL","Somerst",5,2006,2006,2007,255000
"RL","Crawfor",7,1936,1987,2006,250000
"RL","Mitchel",5,1983,1983,2006,131000
"RL","Gilbert",5,2005,2005,2009,174000
"RL","NAmes",5,1960,1960,2010,154300
"RL","CollgCr",7,1977,1989,2009,143500
"RM","BrkSide",7,1925,1950,2006,88000
"RH","Crawfor",6,1949,1950,2007,145000
"FV","Somerst",5,2009,2009,2009,173733
"RM","MeadowV",5,1970,1970,2007,75000
"C (all)","IDOTRR",3,1949,1950,2006,35311
"RL","Edwards",6,1956,1956,2009,135000
"RL","SawyerW",5,1991,1991,2007,238000
"RL","NAmes",8,1958,2002,2008,176500
"RL","SawyerW",5,1994,1994,2007,201000
"RL","Edwards",7,1900,2003,2008,145900
"RL","Gilbert",5,2005,2006,2006,169990
"RL","SawyerW",5,1993,1994,2008,193000
"RL","NWAmes",6,1980,1980,2006,207500
"RL","NWAmes",6,1977,1977,2008,175000
"RL","NridgHt",5,2003,2004,2007,285000
"RL","NWAmes",5,1968,1968,2008,176000
"RL","CollgCr",5,2001,2001,2009,236500
"RL","Gilbert",5,1997,1997,2006,222000
"RL","Timber",5,2007,2007,2009,201000
"RL","NAmes",6,1965,1965,2009,117500
"RL","Somerst",5,2006,2006,2007,320000
"RL","CollgCr",5,2004,2004,2009,190000
"RL","NAmes",7,1960,2007,2008,242000
"RL","BrkSide",5,1926,1953,2006,79900
"RL","SawyerW",5,2003,2003,2009,184900
"RL","Somerst",5,2005,2005,2009,253000
"RL","CollgCr",5,2006,2006,2006,239799
"RL","ClearCr",7,1940,1950,2010,244400
"RL","Mitchel",5,1976,1976,2006,150900
"RL","Gilbert",5,1999,1999,2009,214000
"RL","Edwards",3,1977,1977,2007,150000
"RL","Mitchel",4,1967,1967,2007,143000
"RL","Timber",6,1958,1958,2009,137500
"RM","OldTown",6,1890,1996,2009,124900
"RL","NAmes",6,1959,1959,2006,143000
"RL","Timber",5,2002,2003,2007,270000
"RL","CollgCr",5,2002,2002,2006,192500
"RL","NWAmes",7,1972,2006,2010,197500
"RL","NAmes",8,1950,2002,2007,129000
"RH","SawyerW",5,1965,1965,2006,119900
"RL","CollgCr",8,1972,2003,2009,133900
"RL","Mitchel",4,1969,1969,2008,172000
"RL","Edwards",5,1975,1975,2006,127500
"RH","Crawfor",6,1946,1950,2007,145000
"RM","Blueste",6,1980,1980,2009,124000
"RL","Sawyer",5,1962,1962,2007,132000
"RL","CollgCr",5,2003,2003,2007,185000
"FV","Somerst",5,1999,1999,2010,155000
"RL","BrkSide",7,1958,2008,2010,116500
"RL","NWAmes",7,1977,1995,2008,272000
"RL","NPkVill",6,1976,1976,2007,155000
"RL","CollgCr",5,2007,2007,2009,239000
"RL","Timber",5,2002,2003,2010,214900
"RL","Gilbert",5,2005,2007,2007,178900
"RL","Crawfor",7,1940,1950,2009,160000
"RL","NAmes",7,1955,1955,2008,135000
"RM","OldTown",6,1910,1950,2009,37900
"RL","NAmes",5,1958,1958,2006,140000
"RL","NAmes",4,1949,1950,2006,135000
"RL","NridgHt",5,2003,2004,2009,173000
"RL","SawyerW",5,1979,1979,2010,99500
"FV","Somerst",5,2007,2008,2008,182000
"RL","BrkSide",8,1910,1993,2009,167500
"FV","Somerst",5,2000,2000,2006,165000
"RL","BrkSide",7,1923,1958,2006,85500
"FV","Somerst",5,2006,2007,2007,199900
"RL","Edwards",5,1954,1954,2007,110000
"RL","Sawyer",6,1963,1963,2009,139000
"RL","NAmes",9,1961,2007,2008,178400
"RL","NoRidge",5,1998,1999,2009,336000
"RL","Blmngtn",5,2007,2007,2008,159895
"RL","CollgCr",5,2002,2002,2008,255900
"RL","Mitchel",5,1977,1977,2009,126000
"RL","Edwards",5,1950,1950,2008,125000
"RM","OldTown",8,1910,2003,2006,117000
"RL","NridgHt",5,2009,2010,2010,395192
"RL","NWAmes",6,1976,1976,2007,195000
"FV","Somerst",5,2006,2006,2006,197000
"RL","NoRidge",5,1997,1998,2006,348000
"RM","OldTown",9,1882,1986,2009,168000
"RL","NAmes",8,1964,1993,2007,187000
"RL","CollgCr",5,2005,2006,2006,173900
"RL","NridgHt",5,2006,2007,2009,337500
"RL","BrkSide",7,1946,1950,2006,121600
"RL","NAmes",6,1961,1961,2006,136500
"RL","NWAmes",6,1970,1970,2009,185000
"RM","IDOTRR",4,1922,1950,2006,91000
"RL","CollgCr",5,2006,2006,2010,206000
"RL","Edwards",3,1952,1952,2009,82000
"RL","OldTown",6,1920,1950,2007,86000
"RL","Somerst",5,2006,2006,2008,232000
"RL","NWAmes",6,1976,1976,2007,136905
"RL","Blmngtn",5,2005,2006,2009,181000
"RL","CollgCr",8,1977,1977,2008,149900
"RL","NAmes",3,1970,1970,2007,163500
"RM","MeadowV",4,1970,1970,2009,88000
"RL","Mitchel",5,2004,2005,2009,240000
"RL","SWISU",5,1926,1950,2006,102000
"RL","Sawyer",5,1948,1950,2008,135000
"RL","Edwards",5,1965,1965,2010,100000
"RL","Crawfor",7,1923,1996,2007,165000
"RM","OldTown",4,1910,2006,2009,85000
"RL","NAmes",5,1948,1950,2007,119200
"RL","NWAmes",6,2001,2001,2009,227000
"RL","CollgCr",5,1996,1996,2009,203000
"RL","StoneBr",5,1984,1984,2009,187500
"RL","Gilbert",5,1991,1992,2007,160000
"RL","Blmngtn",5,2005,2005,2006,213490
"RL","Edwards",5,2005,2005,2008,176000
"RL","CollgCr",5,2006,2006,2006,194000
"RM","OldTown",5,1930,1950,2007,87000
"RL","Blmngtn",5,2005,2006,2008,191000
"RL","Timber",6,1976,1976,2008,287000
"RL","CollgCr",5,1972,1972,2007,112500
"RL","NAmes",5,1960,1960,2010,167500
"RL","Timber",5,2007,2008,2008,293077
"RL","NAmes",5,1941,1950,2007,105000
"RM","BrDale",7,1972,1972,2006,118000
"RH","SWISU",8,1916,1995,2006,160000
"RL","SWISU",3,1920,1970,2009,197000
"RL","NoRidge",7,1993,1993,2006,310000
"RL","CollgCr",5,2002,2002,2006,230000
"RL","Crawfor",7,1938,1950,2007,119750
"RL","Edwards",3,1957,1957,2009,84000
"RL","Timber",5,2007,2008,2009,315500
"RL","CollgCr",5,2001,2002,2008,287000
"RM","MeadowV",6,1970,2008,2009,97000
"RM","MeadowV",4,1970,1970,2009,80000
"RL","Sawyer",4,1957,2000,2006,155000
"RL","NWAmes",8,1966,2000,2008,173000
"RL","NridgHt",5,2005,2005,2009,196000
"RL","SawyerW",5,1990,1990,2008,262280
"RL","NWAmes",5,1981,1981,2009,278000
"RL","Edwards",5,1955,1955,2009,139600
"RL","StoneBr",5,2005,2006,2006,556581
"RL","CollgCr",5,1994,1995,2008,145000
"RL","Mitchel",4,1960,2006,2009,115000
"RL","Edwards",7,1946,2006,2010,84900
"RL","Gilbert",5,2007,2007,2007,176485
"RL","CollgCr",5,2007,2007,2007,200141
"RL","NAmes",6,1964,1978,2007,165000
"RL","Edwards",6,1957,2002,2010,144500
"RL","CollgCr",5,2002,2002,2006,255000
"RL","NWAmes",5,1976,1976,2008,180000
"RL","NridgHt",5,2005,2005,2006,185850
"RL","NoRidge",6,1994,1994,2009,248000
"RL","NridgHt",5,2008,2008,2009,335000
"RL","Crawfor",7,1932,1950,2007,220000
"RL","StoneBr",5,2001,2001,2010,213500
"C (all)","IDOTRR",4,1935,1950,2008,81000
"RM","OldTown",5,1900,1950,2007,90000
"RM","OldTown",6,1925,1980,2006,110500
"RL","NAmes",6,1966,1966,2009,154000
"RL","ClearCr",5,1996,1997,2010,328000
"RL","Gilbert",7,1993,1994,2009,178000
"RL","NAmes",6,1964,1964,2008,167900
"RM","MeadowV",4,1973,1973,2006,151400
"RL","NAmes",7,1949,2003,2007,135000
"RL","NAmes",5,1956,1956,2007,135000
"RL","NWAmes",6,1968,1968,2009,154000
"RL","Edwards",3,1948,1950,2006,91500
"RL","Edwards",6,1977,1977,2009,159500
"RL","CollgCr",5,2006,2006,2007,194000
"RL","Crawfor",6,1940,1984,2007,219500
"RL","OldTown",8,1936,1989,2006,170000
"RL","NAmes",5,1969,1969,2006,138800
"RM","CollgCr",5,2004,2004,2006,155900
"RL","CollgCr",5,1994,1994,2007,126000
"RL","NWAmes",7,1971,2004,2008,145000
"RL","Sawyer",5,1963,1963,2010,133000
"RL","CollgCr",5,2002,2002,2007,192000
"RL","NAmes",6,1964,1964,2006,160000
"RL","Gilbert",5,1995,1996,2006,187500
"RL","SawyerW",6,1992,1992,2010,147000
"RM","MeadowV",5,1973,1973,2010,83500
"FV","Somerst",5,2005,2006,2009,252000
"RM","Edwards",5,2004,2004,2006,137500
"FV","Somerst",5,2005,2005,2006,197000
"RL","NAmes",4,1950,1950,2009,92900
"FV","Somerst",5,1999,2000,2008,160000
"RL","SWISU",5,1925,1950,2008,136500
"RL","NAmes",8,1965,1998,2006,146000
"RL","NAmes",7,1956,2000,2010,129000
"RL","CollgCr",5,2006,2006,2007,176432
"RM","IDOTRR",7,1914,2006,2007,127000
"RL","StoneBr",5,1986,1986,2007,170000
"RM","BrkSide",6,1936,1950,2009,128000
"RL","NWAmes",5,1978,1978,2009,157000
"RL","SWISU",5,1920,1950,2009,60000
"RL","NAmes",5,1971,1971,2007,119500
"RL","NAmes",7,1960,2002,2007,135000
"RL","NAmes",6,1959,1959,2006,159500
"RM","BrDale",5,1970,1970,2007,106000
"RL","NoRidge",5,1994,1995,2010,325000
"RL","SawyerW",5,1990,1991,2007,179900
"RL","Gilbert",5,2006,2006,2006,274725
"RL","Gilbert",5,2000,2000,2007,181000
"RL","NridgHt",5,2004,2005,2009,280000
"RL","Gilbert",5,1995,1996,2008,188000
"RL","NWAmes",6,1976,1976,2008,205000
"RL","NAmes",7,1957,1957,2006,129900
"RL","NAmes",7,1953,2006,2007,134500
"RL","OldTown",7,1954,2000,2006,117000
"RL","NridgHt",5,2007,2007,2007,318000
"RL","Gilbert",5,2002,2002,2009,184100
"RL","Sawyer",7,1967,2003,2008,130000
"RL","Sawyer",6,1958,1987,2008,140000
"RL","NAmes",5,1959,1959,2006,133700
"RM","IDOTRR",5,1920,1950,2007,118400
"RL","CollgCr",5,2005,2006,2006,212900
"RL","Edwards",3,1956,1956,2009,112000
"RL","Edwards",9,1947,2008,2009,118000
"RL","Gilbert",5,1992,1992,2007,163900
"RL","NAmes",5,1955,1955,2009,115000
"RL","Blmngtn",5,2007,2007,2009,174000
"RL","Gilbert",5,2004,2004,2007,259000
"RL","Gilbert",5,2004,2005,2007,215000
"RM","OldTown",5,1980,1980,2007,140000
"RL","SWISU",3,1928,1950,2009,135000
"RL","Mitchel",5,1991,1992,2007,93500
"RM","OldTown",4,1880,1950,2007,117500
"RL","SawyerW",5,1995,1995,2009,239500
"RL","Gilbert",5,1997,1997,2007,169000
"RM","BrkSide",5,1926,1950,2007,102000
"RL","NAmes",5,1950,1950,2008,119000
"RL","Sawyer",8,1875,1996,2010,94000
"RL","Mitchel",5,1977,1977,2009,196000
"RL","BrkSide",5,1920,1950,2007,144000
"RL","NAmes",7,1951,1951,2008,139000
"RL","NWAmes",7,1976,1976,2009,197500
"RL","CollgCr",5,2006,2007,2007,424870
"RL","Sawyer",3,1959,1959,2008,80000
"RL","Edwards",4,1941,1950,2010,80000
"RM","BrkSide",6,1928,1950,2006,149000
"RL","SawyerW",5,1985,1985,2006,180000
"RL","Crawfor",7,1941,1950,2009,174500
"RM","OldTown",7,1926,1950,2008,116900
"RM","OldTown",9,1920,1988,2009,143000
"RL","NAmes",5,1950,1950,2007,124000
"RL","Edwards",4,1959,1959,2006,149900
"RL","Crawfor",7,1956,2004,2006,230000
"RM","IDOTRR",8,1930,2007,2008,120500
"RL","NAmes",6,1965,1988,2008,201800
"RL","Veenker",8,1976,2004,2007,218000
"RL","NAmes",8,1965,1999,2008,179900
"RL","NridgHt",5,2007,2008,2009,230000
"RL","Somerst",5,2007,2008,2008,235128
"RL","NWAmes",6,1974,1974,2008,185000
"RL","NPkVill",5,1978,1978,2010,146000
"RL","Crawfor",7,1954,2006,2008,224000
"RL","Sawyer",5,1968,1968,2007,129000
"RL","Sawyer",4,1969,1969,2008,108959
"RL","Veenker",7,1978,1978,2007,194000
"RL","NridgHt",5,2009,2009,2009,233170
"RL","CollgCr",5,2008,2008,2010,245350
"RL","Gilbert",5,2000,2000,2006,173000
"RL","Edwards",7,1935,1986,2008,235000
"RL","NoRidge",5,1995,1996,2006,625000
"RL","Mitchel",6,1977,1977,2008,171000
"RL","NAmes",6,1958,1958,2008,163000
"FV","Somerst",5,2006,2007,2008,171900
"RL","ClearCr",6,1946,1994,2007,200500
"RL","Crawfor",8,1932,1950,2006,239000
"RL","NoRidge",5,1992,2000,2007,285000
"RL","Mitchel",5,1984,1985,2008,119500
"RM","OldTown",8,1926,2004,2009,115000
"RL","Crawfor",6,1921,1950,2009,154900
"RL","Edwards",5,1954,1954,2006,93000
"RL","Timber",5,1990,1991,2006,250000
